sequence,cluster,genome
GCF_009361925.1_prophage_3,12,GCF_009361925.1
GCF_009362035.1_prophage_2,14,GCF_009362035.1
GCF_009362065.1_prophage_3,12,GCF_009362065.1
GCF_009393045.1_prophage_6,11,GCF_009393045.1
GCF_009393275.1_prophage_3,2,GCF_009393275.1
GCF_009393445.1_prophage_3,12,GCF_009393445.1
GCF_009393765.1_prophage_1,10,GCF_009393765.1
GCF_009393765.1_prophage_3,2,GCF_009393765.1
GCF_009393815.1_prophage_3,13,GCF_009393815.1
GCF_009393855.1_prophage_1,20,GCF_009393855.1
GCF_009394225.1_prophage_2,14,GCF_009394225.1
GCF_009394305.1_prophage_4,15,GCF_009394305.1
GCF_009394345.1_prophage_4,20,GCF_009394345.1
GCF_009394395.1_prophage_3,10,GCF_009394395.1
GCF_009394575.1_prophage_3,14,GCF_009394575.1
GCF_009394595.1_prophage_5,17,GCF_009394595.1
GCF_009394595.1_prophage_7,9,GCF_009394595.1
GCF_009431955.1_prophage_14,2,GCF_009431955.1
GCF_009432415.1_prophage_4,1,GCF_009432415.1
GCF_009432795.1_prophage_15,2,GCF_009432795.1
GCF_009432795.1_prophage_4,1,GCF_009432795.1
GCF_009433135.1_prophage_13,2,GCF_009433135.1
GCF_009495425.1_prophage_13,3,GCF_009495425.1
GCF_009495425.1_prophage_7,1,GCF_009495425.1
GCF_009495455.1_prophage_3,8,GCF_009495455.1
GCF_009495455.1_prophage_4,3,GCF_009495455.1
GCF_009497625.2_prophage_1,17,GCF_009497625.2
GCF_009600735.1_prophage_1,17,GCF_009600735.1
GCF_009647805.1_prophage_2,4,GCF_009647805.1
GCF_009647935.1_prophage_6,16,GCF_009647935.1
GCF_009648065.1_prophage_5,8,GCF_009648065.1
GCF_009649305.1_prophage_3,15,GCF_009649305.1
GCF_009649395.1_prophage_1,3,GCF_009649395.1
GCF_009650035.1_prophage_13,1,GCF_009650035.1
GCF_009664305.1_prophage_10,3,GCF_009664305.1
GCF_009709775.1_prophage_3,20,GCF_009709775.1
GCF_009709945.1_prophage_10,14,GCF_009709945.1
GCF_009709945.1_prophage_3,14,GCF_009709945.1
GCF_009709945.1_prophage_6,1,GCF_009709945.1
GCF_009709985.1_prophage_1,1,GCF_009709985.1
GCF_009720095.1_prophage_2,13,GCF_009720095.1
GCF_009720095.1_prophage_6,18,GCF_009720095.1
GCF_009720605.1_prophage_3,1,GCF_009720605.1
GCF_009729615.1_prophage_3,17,GCF_009729615.1
GCF_009729655.1_prophage_6,10,GCF_009729655.1
GCF_009729755.1_prophage_2,3,GCF_009729755.1
GCF_009738455.1_prophage_7,1,GCF_009738455.1
GCF_009741245.1_prophage_2,15,GCF_009741245.1
GCF_009741245.1_prophage_3,19,GCF_009741245.1
GCF_009760995.1_prophage_3,1,GCF_009760995.1
GCF_009761045.1_prophage_1,19,GCF_009761045.1
GCF_009761075.1_prophage_2,1,GCF_009761075.1
GCF_009761865.1_prophage_1,20,GCF_009761865.1
GCF_009761965.1_prophage_4,14,GCF_009761965.1
GCF_009761975.1_prophage_3,7,GCF_009761975.1
GCF_009762015.1_prophage_3,9,GCF_009762015.1
GCF_009762015.1_prophage_8,20,GCF_009762015.1
GCF_009762175.1_prophage_2,8,GCF_009762175.1
GCF_009762185.1_prophage_1,20,GCF_009762185.1
GCF_009762205.1_prophage_2,11,GCF_009762205.1
GCF_009766445.1_prophage_4,4,GCF_009766445.1
GCF_009766455.1_prophage_1,3,GCF_009766455.1
GCF_009766675.1_prophage_2,2,GCF_009766675.1
GCF_009766725.1_prophage_2,17,GCF_009766725.1
GCF_009766725.1_prophage_4,2,GCF_009766725.1
GCF_009766925.1_prophage_1,13,GCF_009766925.1
GCF_009767125.1_prophage_4,2,GCF_009767125.1
GCF_009767445.1_prophage_1,13,GCF_009767445.1
GCF_009767665.1_prophage_2,1,GCF_009767665.1
GCF_009767735.1_prophage_1,17,GCF_009767735.1
GCF_009767765.1_prophage_4,17,GCF_009767765.1
GCF_009767765.1_prophage_5,14,GCF_009767765.1
GCF_009767775.1_prophage_6,13,GCF_009767775.1
GCF_009768365.1_prophage_4,14,GCF_009768365.1
GCF_009768375.1_prophage_5,10,GCF_009768375.1
GCF_009768575.1_prophage_2,12,GCF_009768575.1
GCF_009789815.1_prophage_3,3,GCF_009789815.1
GCF_009789925.1_prophage_7,18,GCF_009789925.1
GCF_009790025.1_prophage_3,14,GCF_009790025.1
GCF_009790315.1_prophage_6,20,GCF_009790315.1
GCF_009790485.1_prophage_1,20,GCF_009790485.1
GCF_009790585.1_prophage_3,2,GCF_009790585.1
GCF_009790715.1_prophage_5,6,GCF_009790715.1
GCF_009790785.1_prophage_8,12,GCF_009790785.1
GCF_009790875.1_prophage_4,2,GCF_009790875.1
GCF_009791125.1_prophage_3,20,GCF_009791125.1
GCF_009791205.1_prophage_1,9,GCF_009791205.1
GCF_009793435.1_prophage_2,3,GCF_009793435.1
GCF_009793435.1_prophage_4,14,GCF_009793435.1
GCF_009793445.1_prophage_5,14,GCF_009793445.1
GCF_009793715.1_prophage_7,15,GCF_009793715.1
GCF_009793855.1_prophage_1,13,GCF_009793855.1
GCF_009794015.1_prophage_6,4,GCF_009794015.1
GCF_009794395.1_prophage_6,14,GCF_009794395.1
GCF_009794405.1_prophage_6,14,GCF_009794405.1
GCF_009794435.1_prophage_3,20,GCF_009794435.1
GCF_009794435.1_prophage_6,14,GCF_009794435.1
GCF_009794465.1_prophage_5,20,GCF_009794465.1
GCF_009794575.1_prophage_3,20,GCF_009794575.1
GCF_009794595.1_prophage_1,15,GCF_009794595.1
GCF_009794595.1_prophage_6,4,GCF_009794595.1
GCF_009794675.1_prophage_3,14,GCF_009794675.1
GCF_009794805.1_prophage_2,13,GCF_009794805.1
GCF_009794915.1_prophage_4,10,GCF_009794915.1
GCF_009795025.1_prophage_3,14,GCF_009795025.1
GCF_009795095.1_prophage_3,14,GCF_009795095.1
GCF_009795195.1_prophage_1,9,GCF_009795195.1
GCF_009795265.1_prophage_4,14,GCF_009795265.1
GCF_009795505.1_prophage_3,15,GCF_009795505.1
GCF_009795545.1_prophage_2,14,GCF_009795545.1
GCF_009795575.1_prophage_2,8,GCF_009795575.1
GCF_009795605.1_prophage_2,10,GCF_009795605.1
GCF_009798165.1_prophage_5,20,GCF_009798165.1
GCF_009798405.1_prophage_6,13,GCF_009798405.1
GCF_009798525.1_prophage_5,15,GCF_009798525.1
GCF_009798535.1_prophage_6,12,GCF_009798535.1
GCF_009798885.1_prophage_3,14,GCF_009798885.1
GCF_009799035.1_prophage_6,8,GCF_009799035.1
GCF_009799045.1_prophage_5,1,GCF_009799045.1
GCF_009812255.1_prophage_1,4,GCF_009812255.1
GCF_009812255.1_prophage_6,9,GCF_009812255.1
GCF_009820185.1_prophage_2,13,GCF_009820185.1
GCF_009820475.1_prophage_4,8,GCF_009820475.1
GCF_009820475.1_prophage_6,20,GCF_009820475.1
GCF_009820485.1_prophage_4,14,GCF_009820485.1
GCF_009820635.1_prophage_1,10,GCF_009820635.1
GCF_009820655.1_prophage_3,20,GCF_009820655.1
GCF_009820855.1_prophage_3,3,GCF_009820855.1
GCF_009820955.1_prophage_3,14,GCF_009820955.1
GCF_009822205.1_prophage_4,2,GCF_009822205.1
GCF_009822445.1_prophage_1,20,GCF_009822445.1
GCF_009822485.1_prophage_3,14,GCF_009822485.1
GCF_009822715.1_prophage_4,1,GCF_009822715.1
GCF_009822775.1_prophage_4,2,GCF_009822775.1
GCF_009822955.1_prophage_4,9,GCF_009822955.1
GCF_009823015.1_prophage_5,13,GCF_009823015.1
GCF_009823115.1_prophage_1,14,GCF_009823115.1
GCF_009823195.1_prophage_7,2,GCF_009823195.1
GCF_009823305.1_prophage_3,20,GCF_009823305.1
GCF_009833485.1_prophage_3,8,GCF_009833485.1
GCF_009848295.1_prophage_5,3,GCF_009848295.1
GCF_009867015.2_prophage_11,17,GCF_009867015.2
GCF_009874745.1_prophage_2,14,GCF_009874745.1
GCF_009880325.1_prophage_4,12,GCF_009880325.1
GCF_009880595.1_prophage_5,14,GCF_009880595.1
GCF_009880635.1_prophage_1,17,GCF_009880635.1
GCF_009880745.1_prophage_4,20,GCF_009880745.1
GCF_009880855.1_prophage_7,5,GCF_009880855.1
GCF_009880955.1_prophage_4,3,GCF_009880955.1
GCF_009882595.1_prophage_5,20,GCF_009882595.1
GCF_009882835.1_prophage_7,2,GCF_009882835.1
GCF_009882875.1_prophage_1,20,GCF_009882875.1
GCF_009898505.1_prophage_2,12,GCF_009898505.1
GCF_009898505.1_prophage_3,7,GCF_009898505.1
GCF_009898505.1_prophage_4,3,GCF_009898505.1
GCF_009898925.1_prophage_5,8,GCF_009898925.1
GCF_009899155.1_prophage_2,17,GCF_009899155.1
GCF_009899355.1_prophage_6,1,GCF_009899355.1
GCF_009899425.1_prophage_5,16,GCF_009899425.1
GCF_009899455.1_prophage_2,7,GCF_009899455.1
GCF_009905135.1_prophage_2,1,GCF_009905135.1
GCF_009909775.1_prophage_3,4,GCF_009909775.1
GCF_009909835.1_prophage_7,11,GCF_009909835.1
GCF_009909915.1_prophage_2,14,GCF_009909915.1
GCF_009913415.1_prophage_3,1,GCF_009913415.1
GCF_009913725.1_prophage_3,10,GCF_009913725.1
GCF_009914295.1_prophage_1,13,GCF_009914295.1
GCF_009931235.1_prophage_3,2,GCF_009931235.1
GCF_009951245.1_prophage_3,20,GCF_009951245.1
GCF_010078215.1_prophage_5,3,GCF_010078215.1
GCF_010365465.1_prophage_4,10,GCF_010365465.1
GCF_010365525.1_prophage_3,1,GCF_010365525.1
GCF_010590005.1_prophage_1,15,GCF_010590005.1
GCF_010590615.1_prophage_3,15,GCF_010590615.1
GCF_010590625.1_prophage_4,3,GCF_010590625.1
GCF_010597505.1_prophage_2,2,GCF_010597505.1
GCF_010597655.1_prophage_4,14,GCF_010597655.1
GCF_010597905.1_prophage_4,3,GCF_010597905.1
GCF_010597925.1_prophage_2,15,GCF_010597925.1
GCF_010598125.1_prophage_2,4,GCF_010598125.1
GCF_010598165.1_prophage_4,6,GCF_010598165.1
GCF_010598315.1_prophage_5,20,GCF_010598315.1
GCF_010598565.1_prophage_6,13,GCF_010598565.1
GCF_010598725.1_prophage_2,5,GCF_010598725.1
GCF_010598725.1_prophage_3,1,GCF_010598725.1
GCF_010671855.1_prophage_1,19,GCF_010671855.1
GCF_010671855.1_prophage_6,15,GCF_010671855.1
GCF_010725305.1_prophage_1,13,GCF_010725305.1
GCF_010725305.1_prophage_5,2,GCF_010725305.1
GCF_010820755.1_prophage_6,16,GCF_010820755.1
GCF_010820755.1_prophage_8,12,GCF_010820755.1
GCF_010820785.1_prophage_2,3,GCF_010820785.1
GCF_010820905.1_prophage_4,1,GCF_010820905.1
GCF_010820905.1_prophage_6,9,GCF_010820905.1
GCF_010915835.1_prophage_2,15,GCF_010915835.1
GCF_010974965.1_prophage_2,19,GCF_010974965.1
GCF_011008555.1_prophage_8,1,GCF_011008555.1
GCF_011008755.1_prophage_1,12,GCF_011008755.1
GCF_011028045.1_prophage_5,20,GCF_011028045.1
GCF_011029465.1_prophage_1,1,GCF_011029465.1
GCF_011029785.1_prophage_7,14,GCF_011029785.1
GCF_011032095.1_prophage_1,1,GCF_011032095.1
GCF_011032135.1_prophage_8,17,GCF_011032135.1
GCF_011032195.1_prophage_4,15,GCF_011032195.1
GCF_011032345.1_prophage_2,13,GCF_011032345.1
GCF_011032445.1_prophage_1,15,GCF_011032445.1
GCF_011032525.1_prophage_4,20,GCF_011032525.1
GCF_011032645.1_prophage_5,4,GCF_011032645.1
GCF_011032685.1_prophage_8,12,GCF_011032685.1
GCF_011032695.1_prophage_6,15,GCF_011032695.1
GCF_011033175.1_prophage_2,20,GCF_011033175.1
GCF_011033235.1_prophage_1,4,GCF_011033235.1
GCF_011043615.1_prophage_2,1,GCF_011043615.1
GCF_011043635.1_prophage_6,13,GCF_011043635.1
GCF_011044235.1_prophage_6,10,GCF_011044235.1
GCF_011045215.1_prophage_7,7,GCF_011045215.1
GCF_011077535.1_prophage_3,20,GCF_011077535.1
GCF_011077545.1_prophage_3,20,GCF_011077545.1
GCF_011077925.1_prophage_1,1,GCF_011077925.1
GCF_011078315.1_prophage_7,18,GCF_011078315.1
GCF_011250605.1_prophage_2,6,GCF_011250605.1
GCF_011383085.1_prophage_1,1,GCF_011383085.1
GCF_011492985.1_prophage_1,2,GCF_011492985.1
GCF_011600875.1_prophage_1,1,GCF_011600875.1
GCF_011601145.1_prophage_1,8,GCF_011601145.1
GCF_011601145.1_prophage_2,12,GCF_011601145.1
GCF_011603085.1_prophage_3,20,GCF_011603085.1
GCF_011604845.1_prophage_1,7,GCF_011604845.1
GCF_011605085.1_prophage_1,20,GCF_011605085.1
GCF_011605205.1_prophage_6,16,GCF_011605205.1
GCF_011750995.1_prophage_1,7,GCF_011750995.1
GCF_011751215.1_prophage_3,14,GCF_011751215.1
GCF_011751405.1_prophage_1,13,GCF_011751405.1
GCF_011765445.1_prophage_2,10,GCF_011765445.1
GCF_011881705.1_prophage_1,1,GCF_011881705.1
GCF_012034375.1_prophage_5,14,GCF_012034375.1
GCF_012056855.1_prophage_6,6,GCF_012056855.1
GCF_012056965.1_prophage_7,15,GCF_012056965.1
GCF_012062995.1_prophage_3,14,GCF_012062995.1
GCF_012063365.1_prophage_3,12,GCF_012063365.1
GCF_012221565.1_prophage_3,10,GCF_012221565.1
GCF_012221565.1_prophage_5,16,GCF_012221565.1
GCF_012275555.1_prophage_6,18,GCF_012275555.1
GCF_012275695.1_prophage_4,15,GCF_012275695.1
GCF_012371425.1_prophage_1,20,GCF_012371425.1
GCF_012934455.1_prophage_4,1,GCF_012934455.1
GCF_012934475.1_prophage_2,12,GCF_012934475.1
GCF_012934715.1_prophage_2,18,GCF_012934715.1
GCF_012952545.1_prophage_1,2,GCF_012952545.1
GCF_012978145.1_prophage_1,14,GCF_012978145.1
GCF_012978195.1_prophage_3,15,GCF_012978195.1
GCF_012978305.1_prophage_1,4,GCF_012978305.1
GCF_012978375.1_prophage_2,1,GCF_012978375.1
GCF_012978375.1_prophage_5,13,GCF_012978375.1
GCF_013007615.1_prophage_4,20,GCF_013007615.1
GCF_013030575.1_prophage_3,1,GCF_013030575.1
GCF_013047105.1_prophage_1,7,GCF_013047105.1
GCF_013072745.1_prophage_9,9,GCF_013072745.1
GCF_013072925.1_prophage_1,17,GCF_013072925.1
GCF_013073225.1_prophage_3,5,GCF_013073225.1
GCF_013073245.1_prophage_2,12,GCF_013073245.1
GCF_013073555.1_prophage_3,10,GCF_013073555.1
GCF_013073655.1_prophage_5,6,GCF_013073655.1
GCF_013073865.1_prophage_2,3,GCF_013073865.1
GCF_013073925.1_prophage_4,4,GCF_013073925.1
GCF_013074045.1_prophage_4,6,GCF_013074045.1
GCF_013074055.1_prophage_1,15,GCF_013074055.1
GCF_013074195.1_prophage_2,4,GCF_013074195.1
GCF_013074285.1_prophage_5,2,GCF_013074285.1
GCF_013074365.1_prophage_4,12,GCF_013074365.1
GCF_013084945.1_prophage_5,1,GCF_013084945.1
GCF_013085025.1_prophage_1,10,GCF_013085025.1
GCF_013085905.2_prophage_9,20,GCF_013085905.2
GCF_013131605.1_prophage_1,2,GCF_013131605.1
GCF_013141925.1_prophage_12,2,GCF_013141925.1
GCF_013166935.1_prophage_2,4,GCF_013166935.1
GCF_013167035.1_prophage_2,1,GCF_013167035.1
GCF_013167075.1_prophage_4,4,GCF_013167075.1
GCF_013167235.1_prophage_11,2,GCF_013167235.1
GCF_013167275.1_prophage_12,1,GCF_013167275.1
GCF_013167335.1_prophage_8,2,GCF_013167335.1
GCF_013167495.1_prophage_9,20,GCF_013167495.1
GCF_013167695.1_prophage_12,1,GCF_013167695.1
GCF_013167715.1_prophage_5,2,GCF_013167715.1
GCF_013167715.1_prophage_6,4,GCF_013167715.1
GCF_013167735.1_prophage_7,15,GCF_013167735.1
GCF_013167755.1_prophage_5,1,GCF_013167755.1
GCF_013167775.1_prophage_14,1,GCF_013167775.1
GCF_013167775.1_prophage_5,2,GCF_013167775.1
GCF_013167775.1_prophage_8,4,GCF_013167775.1
GCF_013167795.1_prophage_2,20,GCF_013167795.1
GCF_013167795.1_prophage_3,10,GCF_013167795.1
GCF_013168055.1_prophage_1,2,GCF_013168055.1
GCF_013168095.1_prophage_14,9,GCF_013168095.1
GCF_013168135.1_prophage_14,2,GCF_013168135.1
GCF_013168155.1_prophage_16,9,GCF_013168155.1
GCF_013168195.1_prophage_16,1,GCF_013168195.1
GCF_013168235.1_prophage_12,2,GCF_013168235.1
GCF_013168255.1_prophage_5,1,GCF_013168255.1
GCF_013169815.1_prophage_2,10,GCF_013169815.1
GCF_013170525.1_prophage_4,20,GCF_013170525.1
GCF_013170655.1_prophage_2,20,GCF_013170655.1
GCF_013180955.1_prophage_2,7,GCF_013180955.1
GCF_013182685.1_prophage_1,1,GCF_013182685.1
GCF_013182705.1_prophage_2,7,GCF_013182705.1
GCF_013182935.1_prophage_7,13,GCF_013182935.1
GCF_013183055.1_prophage_3,9,GCF_013183055.1
GCF_013183175.1_prophage_3,20,GCF_013183175.1
GCF_013183235.1_prophage_7,13,GCF_013183235.1
GCF_013183285.1_prophage_3,12,GCF_013183285.1
GCF_013183285.1_prophage_4,10,GCF_013183285.1
GCF_013183305.1_prophage_8,13,GCF_013183305.1
GCF_013183315.1_prophage_10,2,GCF_013183315.1
GCF_013183675.1_prophage_1,5,GCF_013183675.1
GCF_013183725.1_prophage_6,7,GCF_013183725.1
GCF_013185345.1_prophage_1,7,GCF_013185345.1
GCF_013185455.1_prophage_1,15,GCF_013185455.1
GCF_013185455.1_prophage_5,10,GCF_013185455.1
GCF_013185525.1_prophage_5,16,GCF_013185525.1
GCF_013185625.1_prophage_4,16,GCF_013185625.1
GCF_013185635.1_prophage_6,16,GCF_013185635.1
GCF_013185755.1_prophage_7,16,GCF_013185755.1
GCF_013185885.1_prophage_3,4,GCF_013185885.1
GCF_013186735.1_prophage_2,11,GCF_013186735.1
GCF_013201505.1_prophage_1,3,GCF_013201505.1
GCF_013202035.1_prophage_10,12,GCF_013202035.1
GCF_013202035.1_prophage_9,14,GCF_013202035.1
GCF_013282355.1_prophage_4,1,GCF_013282355.1
GCF_013315675.1_prophage_3,1,GCF_013315675.1
GCF_013315995.1_prophage_4,1,GCF_013315995.1
GCF_013340085.1_prophage_4,5,GCF_013340085.1
GCF_013340115.1_prophage_1,1,GCF_013340115.1
GCF_013341545.1_prophage_2,14,GCF_013341545.1
GCF_013342755.1_prophage_3,20,GCF_013342755.1
GCF_013343595.1_prophage_3,16,GCF_013343595.1
GCF_013346965.1_prophage_3,8,GCF_013346965.1
GCF_013347065.1_prophage_1,17,GCF_013347065.1
GCF_013357365.1_prophage_11,1,GCF_013357365.1
GCF_013358935.1_prophage_5,1,GCF_013358935.1
GCF_013363225.1_prophage_4,5,GCF_013363225.1
GCF_013368355.1_prophage_5,6,GCF_013368355.1
GCF_013369455.1_prophage_3,14,GCF_013369455.1
GCF_013369555.1_prophage_4,7,GCF_013369555.1
GCF_013369575.1_prophage_9,15,GCF_013369575.1
GCF_013369595.1_prophage_4,12,GCF_013369595.1
GCF_013369755.1_prophage_2,7,GCF_013369755.1
GCF_013370045.1_prophage_2,14,GCF_013370045.1
GCF_013370145.1_prophage_1,2,GCF_013370145.1
GCF_013370185.1_prophage_2,14,GCF_013370185.1
GCF_013370395.1_prophage_5,20,GCF_013370395.1
GCF_013370585.1_prophage_1,17,GCF_013370585.1
GCF_013370585.1_prophage_5,8,GCF_013370585.1
GCF_013370735.1_prophage_3,1,GCF_013370735.1
GCF_013370805.1_prophage_3,13,GCF_013370805.1
GCF_013372325.1_prophage_6,3,GCF_013372325.1
GCF_013372405.1_prophage_5,3,GCF_013372405.1
GCF_013374335.1_prophage_4,14,GCF_013374335.1
GCF_013374895.1_prophage_5,1,GCF_013374895.1
GCF_013374945.1_prophage_4,13,GCF_013374945.1
GCF_013377805.1_prophage_3,14,GCF_013377805.1
GCF_013389205.1_prophage_2,20,GCF_013389205.1
GCF_013389265.1_prophage_1,3,GCF_013389265.1
GCF_013389265.1_prophage_4,14,GCF_013389265.1
GCF_013389615.1_prophage_8,20,GCF_013389615.1
GCF_013391225.1_prophage_2,20,GCF_013391225.1
GCF_013391275.1_prophage_2,2,GCF_013391275.1
GCF_013392285.1_prophage_5,17,GCF_013392285.1
GCF_013392345.1_prophage_3,3,GCF_013392345.1
GCF_013392425.1_prophage_1,13,GCF_013392425.1
GCF_013392585.1_prophage_2,20,GCF_013392585.1
GCF_013392605.1_prophage_5,10,GCF_013392605.1
GCF_013392665.1_prophage_4,14,GCF_013392665.1
GCF_013394575.1_prophage_2,1,GCF_013394575.1
GCF_013395595.1_prophage_3,10,GCF_013395595.1
GCF_013395835.1_prophage_2,5,GCF_013395835.1
GCF_013402855.1_prophage_4,1,GCF_013402855.1
GCF_013403165.1_prophage_1,9,GCF_013403165.1
GCF_013404195.1_prophage_3,7,GCF_013404195.1
GCF_013404235.1_prophage_1,1,GCF_013404235.1
GCF_013404235.1_prophage_3,12,GCF_013404235.1
GCF_013404455.1_prophage_7,15,GCF_013404455.1
GCF_013404535.1_prophage_1,3,GCF_013404535.1
GCF_013404565.1_prophage_3,3,GCF_013404565.1
GCF_013412845.1_prophage_1,3,GCF_013412845.1
GCF_013412915.1_prophage_4,17,GCF_013412915.1
GCF_013412945.1_prophage_8,20,GCF_013412945.1
GCF_013413055.1_prophage_4,7,GCF_013413055.1
GCF_013413065.1_prophage_7,20,GCF_013413065.1
GCF_013413135.1_prophage_2,6,GCF_013413135.1
GCF_013413135.1_prophage_8,1,GCF_013413135.1
GCF_013413215.1_prophage_2,17,GCF_013413215.1
GCF_013413285.1_prophage_7,20,GCF_013413285.1
GCF_013413415.1_prophage_2,12,GCF_013413415.1
GCF_013413565.1_prophage_3,1,GCF_013413565.1
GCF_013413595.1_prophage_4,7,GCF_013413595.1
GCF_013413695.1_prophage_3,12,GCF_013413695.1
GCF_013413725.1_prophage_1,17,GCF_013413725.1
GCF_013413835.1_prophage_3,20,GCF_013413835.1
GCF_013414035.1_prophage_6,12,GCF_013414035.1
GCF_013414045.1_prophage_7,7,GCF_013414045.1
GCF_013414155.1_prophage_4,20,GCF_013414155.1
GCF_013421755.1_prophage_5,16,GCF_013421755.1
GCF_013421785.1_prophage_2,16,GCF_013421785.1
GCF_013421875.1_prophage_2,16,GCF_013421875.1
GCF_013422115.1_prophage_3,17,GCF_013422115.1
GCF_013422365.1_prophage_1,13,GCF_013422365.1
GCF_013422365.1_prophage_2,16,GCF_013422365.1
GCF_013422465.1_prophage_5,15,GCF_013422465.1
GCF_013423565.1_prophage_1,1,GCF_013423565.1
GCF_013424315.1_prophage_2,1,GCF_013424315.1
GCF_013424385.1_prophage_2,12,GCF_013424385.1
GCF_013424455.1_prophage_1,5,GCF_013424455.1
GCF_013424665.1_prophage_1,12,GCF_013424665.1
GCF_013424765.1_prophage_9,7,GCF_013424765.1
GCF_013424915.1_prophage_2,5,GCF_013424915.1
GCF_013425265.1_prophage_1,16,GCF_013425265.1
GCF_013425935.1_prophage_1,1,GCF_013425935.1
GCF_013601075.1_prophage_2,20,GCF_013601075.1
GCF_013601685.1_prophage_2,2,GCF_013601685.1
GCF_013601995.1_prophage_2,20,GCF_013601995.1
GCF_013602005.1_prophage_5,5,GCF_013602005.1
GCF_013605085.1_prophage_7,13,GCF_013605085.1
GCF_013605475.1_prophage_1,3,GCF_013605475.1
GCF_013605475.1_prophage_2,10,GCF_013605475.1
GCF_013605805.1_prophage_3,1,GCF_013605805.1
GCF_013605925.1_prophage_2,16,GCF_013605925.1
GCF_013606025.1_prophage_8,3,GCF_013606025.1
GCF_013606725.1_prophage_10,4,GCF_013606725.1
GCF_013606735.1_prophage_1,15,GCF_013606735.1
GCF_013606925.1_prophage_6,10,GCF_013606925.1
GCF_013607045.1_prophage_4,18,GCF_013607045.1
GCF_013607135.1_prophage_7,2,GCF_013607135.1
GCF_013607235.1_prophage_3,7,GCF_013607235.1
GCF_013608285.1_prophage_3,20,GCF_013608285.1
GCF_013608555.1_prophage_4,8,GCF_013608555.1
GCF_013608675.1_prophage_1,2,GCF_013608675.1
GCF_013608955.1_prophage_3,8,GCF_013608955.1
GCF_013609085.1_prophage_1,2,GCF_013609085.1
GCF_013609205.1_prophage_1,20,GCF_013609205.1
GCF_013609325.1_prophage_1,2,GCF_013609325.1
GCF_013618615.1_prophage_1,14,GCF_013618615.1
GCF_013850805.1_prophage_4,3,GCF_013850805.1
GCF_013850835.1_prophage_3,15,GCF_013850835.1
GCF_013850845.1_prophage_3,15,GCF_013850845.1
GCF_013850905.1_prophage_5,1,GCF_013850905.1
GCF_013851005.1_prophage_5,1,GCF_013851005.1
GCF_013851135.1_prophage_7,7,GCF_013851135.1
GCF_013851185.1_prophage_2,12,GCF_013851185.1
GCF_013851255.1_prophage_5,7,GCF_013851255.1
GCF_014050335.1_prophage_1,9,GCF_014050335.1
GCF_014050415.1_prophage_1,1,GCF_014050415.1
GCF_014058445.2_prophage_11,2,GCF_014058445.2
GCF_014058445.2_prophage_16,1,GCF_014058445.2
GCF_014076685.2_prophage_5,1,GCF_014076685.2
GCF_014117635.2_prophage_5,10,GCF_014117635.2
GCF_014117645.2_prophage_2,8,GCF_014117645.2
GCF_014132535.1_prophage_4,9,GCF_014132535.1
GCF_014132555.1_prophage_5,1,GCF_014132555.1
GCF_014155105.1_prophage_4,10,GCF_014155105.1
GCF_014155245.1_prophage_2,17,GCF_014155245.1
GCF_014168755.1_prophage_9,20,GCF_014168755.1
GCF_014168775.1_prophage_6,13,GCF_014168775.1
GCF_014169035.1_prophage_1,20,GCF_014169035.1
GCF_014169415.1_prophage_4,14,GCF_014169415.1
GCF_014169575.1_prophage_1,20,GCF_014169575.1
GCF_014170615.1_prophage_7,2,GCF_014170615.1
GCF_014170995.1_prophage_4,2,GCF_014170995.1
GCF_014216415.1_prophage_4,15,GCF_014216415.1
GCF_014216475.1_prophage_5,2,GCF_014216475.1
GCF_014216555.1_prophage_8,18,GCF_014216555.1
GCF_014216715.1_prophage_8,15,GCF_014216715.1
GCF_014216755.1_prophage_8,15,GCF_014216755.1
GCF_014216835.1_prophage_2,1,GCF_014216835.1
GCF_014216955.1_prophage_6,18,GCF_014216955.1
GCF_014217015.1_prophage_4,1,GCF_014217015.1
GCF_014217095.1_prophage_2,12,GCF_014217095.1
GCF_014235745.1_prophage_6,18,GCF_014235745.1
GCF_014263375.1_prophage_2,9,GCF_014263375.1
GCF_014265895.1_prophage_2,1,GCF_014265895.1
GCF_014295295.1_prophage_4,18,GCF_014295295.1
GCF_014325365.1_prophage_9,6,GCF_014325365.1
GCF_014332845.1_prophage_1,8,GCF_014332845.1
GCF_014332845.1_prophage_2,1,GCF_014332845.1
GCF_014332875.1_prophage_3,4,GCF_014332875.1
GCF_014333955.1_prophage_2,3,GCF_014333955.1
GCF_014361285.1_prophage_1,20,GCF_014361285.1
GCF_014451125.1_prophage_4,14,GCF_014451125.1
GCF_014490195.1_prophage_5,13,GCF_014490195.1
GCF_014490375.1_prophage_2,14,GCF_014490375.1
